,Away team,Home team,Year,week,Awayscore,Homescore,Nethomepoints,Spread,Aappg,Aappga,Happg,Happga,DAappg,DAappga,DHappg,DHappga,OsbournM,WuM
44,3,17,1995,1,14,17,3,-3,0,0,0,0,21.25624203,19.49519764,21.58109279,20.58806814,2.873105501,2.236663267
45,4,9,1995,1,7,22,15,-5.5,0,0,0,0,21.25624203,21.03331167,21.46296524,21.43807852,2.873105501,2.74543353
46,7,12,1995,1,24,21,-3,-8,0,0,0,0,19.36620128,21.53927023,20.28168977,20.66902151,2.873105501,4.544312654
47,8,19,1995,1,35,0,-35,7,0,0,0,0,23.44160166,19.94044118,19.45479694,20.51723394,2.873105501,-2.043318846
48,10,23,1995,1,20,23,3,-5.5,0,0,0,0,21.75828411,20.89164327,20.54747675,19.79877278,2.873105501,2.844448532
49,14,25,1995,1,34,10,-24,1.5,0,0,0,0,20.63607241,20.44639974,19.69105203,20.69937902,2.873105501,1.344848295
50,16,6,1995,1,14,31,17,-3,0,0,0,0,21.72875222,20.60830648,19.21854184,20.53747228,2.873105501,0.0334459
51,20,15,1995,1,14,52,38,-10,0,0,0,0,19.01181864,20.66902151,22.70330449,20.7398557,2.873105501,6.942135621
52,24,21,1995,1,7,17,10,-4,0,0,0,0,22.46704939,20.52735311,20.16356222,20.7398557,2.873105501,0.180623502
53,26,18,1995,1,24,22,-2,9.5,0,0,0,0,26.12900336,20.4261614,21.49249713,21.5493894,2.873105501,-2.788933784
54,27,11,1995,1,17,14,-3,-8,0,0,0,0,19.66152015,21.12438421,22.49658128,20.33508886,2.873105501,6.99799674
55,28,22,1995,1,21,6,-15,-6.5,0,0,0,0,18.62790411,20.98271581,20.31122166,20.54759145,2.873105501,4.853861982
56,1,12,1996,1,13,20,7,-9,0,0,0,0,19.33666939,21.70117697,20.99045505,20.62854482,2.873105501,5.689498882
57,2,5,1996,1,6,29,23,3,0,0,0,0,21.90594354,20.96247747,19.75011581,20.71961736,2.873105501,0.698506391
58,4,19,1996,1,23,20,-3,6,0,0,0,0,21.5515609,20.82080907,19.77964769,20.87140493,2.873105501,0.756928839
59,7,27,1996,1,16,26,10,-3,0,0,0,0,21.52202901,21.21545675,20.34075354,21.66070028,2.873105501,1.001588476
60,8,6,1996,1,6,22,16,3,0,0,0,0,24.06177128,20.37556554,22.79190015,21.07378835,2.873105501,1.38520213
61,10,16,1996,1,13,17,4,-2,0,0,0,0,24.09130317,20.83092825,23.38253788,21.32676763,2.873105501,2.296193064
62,11,28,1996,1,34,3,-31,7,0,0,0,0,23.14628279,20.60830648,18.24398958,20.82080907,2.873105501,-2.921877167
63,14,32,1996,1,20,19,-1,5,0,0,0,0,21.787816,19.86960698,20.84279562,21.06366918,2.873105501,0.628782271
64,17,15,1996,1,10,24,14,-2.5,0,0,0,0,19.89777524,21.24581426,22.96909147,20.79045156,2.873105501,6.96451354
65,18,26,1996,1,11,27,16,-12,0,0,0,0,20.63607241,20.9523583,24.71147279,20.04163289,2.873105501,8.996150374
66,20,9,1996,1,6,31,25,-8,0,0,0,0,18.09633014,21.31664846,22.6737726,20.92200079,2.873105501,8.286400275
67,22,30,1996,1,17,14,-3,-1.5,0,0,0,0,20.60654052,20.85116659,21.49249713,20.70949819,2.873105501,4.072439362
68,23,13,1996,1,9,24,15,3.5,0,0,0,0,23.23487845,20.7398557,19.33666939,21.51903189,2.873105501,-2.29694581
69,25,24,1996,1,7,29,22,-4,0,0,0,0,21.93547543,21.13450338,20.69513618,20.69937902,2.873105501,2.071627246
70,1,7,1997,1,21,24,3,-8,0,0,0,0,20.07496656,21.44819769,22.20126241,21.1648609,2.873105501,5.601415344
71,2,10,1997,1,17,28,11,-7.5,0,0,0,0,20.34075354,22.09582465,20.13403033,21.15474172,2.873105501,3.430378226
72,6,11,1997,1,24,38,14,-15,0,0,0,0,19.57292449,20.51723394,24.6819409,19.55591267,2.873105501,10.10302337
73,8,23,1997,1,37,7,-30,1,0,0,0,0,19.66152015,19.96067952,21.37436958,20.03151372,2.873105501,4.687362749
74,12,15,1997,1,10,16,6,-6,0,0,0,0,20.57700864,20.8106899,21.22671015,20.71961736,2.873105501,3.710445053
75,13,3,1997,1,28,27,-1,3,0,0,0,0,20.81326373,20.82080907,22.17173052,21.89344122,2.873105501,3.321866289
76,14,9,1997,1,3,19,16,-7.5,0,0,0,0,19.9863709,20.46663808,22.76236826,20.2136588,2.873105501,6.45221127
77,16,4,1997,1,34,13,-21,-2.5,0,0,0,0,20.01590279,20.61842565,20.63607241,20.12258626,2.873105501,4.002778482
78,18,27,1997,1,24,38,14,-4,0,0,0,0,17.9782026,20.86128576,20.16356222,21.56962774,2.873105501,3.990814947
79,20,25,1997,1,41,3,-38,-6,0,0,0,0,19.45479694,22.02499045,20.57700864,21.23569509,2.873105501,4.692353427
80,21,29,1997,1,21,24,3,3,0,0,0,0,21.25624203,20.39580388,21.40390147,20.65890233,2.873105501,2.893206395
81,22,19,1997,1,17,31,14,3,0,0,0,0,21.93547543,20.8815241,18.36211713,20.43628057,2.873105501,-0.843238734
82,24,17,1997,1,7,41,34,-7,0,0,0,0,20.37028543,21.23569509,23.5597292,20.59818731,2.873105501,7.458668585
83,26,28,1997,1,6,13,7,6.5,0,0,0,0,22.96909147,20.03151372,17.7419475,20.39580388,2.873105501,-3.505834117
84,30,5,1997,1,24,10,-14,-4,0,0,0,0,21.96500732,20.58806814,22.05360298,19.63686604,2.873105501,4.408608254
85,1,8,1998,1,10,38,28,-6,0,0,0,0,19.57292449,21.26605261,20.19309411,20.60830648,2.873105501,4.007306898
86,2,5,1998,1,19,14,-5,-5,0,0,0,0,20.6656043,21.08390753,19.04135052,20.60830648,2.873105501,1.281521177
87,4,24,1998,1,14,16,2,-1,0,0,0,0,18.74603165,21.14462255,19.07088241,21.73153448,2.873105501,1.969039053
88,10,11,1998,1,19,38,19,-9.5,0,0,0,0,22.40798562,20.52735311,23.67785675,20.284493,2.873105501,5.210161283
89,13,6,1998,1,24,23,-1,9.5,0,0,0,0,22.85096392,20.64878316,18.98228675,21.6910578,2.873105501,-2.66425082
90,15,12,1998,1,24,15,-9,4,0,0,0,0,21.22671015,20.7398557,20.45888109,21.48867437,2.873105501,1.132611064
91,17,9,1998,1,21,27,6,-7,0,0,0,0,22.11266675,20.3553272,25.15445109,20.33508886,2.873105501,7.124958544
92,18,27,1998,1,24,17,-7,-4,0,0,0,0,18.21445769,20.7398557,20.04543467,21.06366918,2.873105501,4.066218001
93,20,26,1998,1,30,36,6,-7.5,0,0,0,0,21.49249713,20.33508886,22.28985807,20.11246709,2.873105501,4.349945023
94,21,14,1998,1,8,28,20,-7.5,0,0,0,0,20.78373184,21.67081946,22.28985807,19.77853444,2.873105501,6.862479339
95,23,3,1998,1,20,13,-7,3,0,0,0,0,22.20126241,20.53747228,20.84279562,20.92200079,2.873105501,1.100356696
96,25,22,1998,1,38,0,-38,4,0,0,0,0,21.9945392,21.0940267,20.57700864,21.19521841,2.873105501,1.245669487
97,28,16,1998,1,7,31,24,-3,0,0,0,0,20.04543467,20.09222875,21.66968845,21.06366918,2.873105501,3.626262619
98,29,7,1998,1,23,14,-9,-1,0,0,0,0,21.04951883,20.56782979,21.69922034,21.52915106,2.873105501,2.644241403
99,30,19,1998,1,24,31,7,-2,0,0,0,0,20.8723275,20.3553272,20.28168977,20.11246709,2.873105501,2.442718282
100,1,22,1999,1,25,24,-1,3,0,0,0,0,20.81326373,21.25593344,15.97003429,20.91188161,2.873105501,-2.915122474
101,3,27,1999,1,10,27,17,0,0,0,0,0,19.15947807,20.82080907,19.63198826,21.25593344,2.873105501,2.477327918
102,4,12,1999,1,14,31,17,2.5,0,0,0,0,23.02815524,20.80057073,20.37028543,21.92379874,2.873105501,-1.191448615
103,5,18,1999,1,10,19,9,-3.5,0,0,0,0,21.13811449,21.61010443,20.22262599,21.06366918,2.873105501,2.344417446
104,7,29,1999,1,35,36,1,-9,0,0,0,0,19.12994618,22.00475211,20.96092317,20.66902151,2.873105501,6.133085856
105,8,30,1999,1,41,35,-6,-2.5,0,0,0,0,22.46704939,20.2136588,20.63607241,21.6910578,2.873105501,-0.660827431
106,10,25,1999,1,28,20,-8,-9.5,0,0,0,0,20.25215788,21.25593344,22.20126241,20.56782979,2.873105501,5.914205577
107,14,6,1999,1,17,20,3,3.5,0,0,0,0,20.8723275,21.10414587,19.36620128,21.15474172,2.873105501,0.876573438
108,15,9,1999,1,38,21,-17,-6,0,0,0,0,20.69513618,20.11246709,26.01087581,20.55771062,2.873105501,9.084340708
109,16,2,1999,1,17,14,-3,4,0,0,0,0,27.63512958,20.4261614,24.26849449,20.3553272,2.873105501,0.62441088
